title	count
miuthi 汇总	105
sāsanāre 汇总	20
bhāṭī 汇总	12
danatiuna 汇总	11
pakhukkū 汇总	7
nerana 汇总	6
thanatapaငa 汇总	6
aṭṭhakathānisya  汇总	5
mahu 汇总	5
prañña 汇总	5
rvhecetī 汇总	4
rvheumaငa 汇总	4
bākarā 汇总	3
bhuṅkyoa 汇总	3
sajjanodaya 汇总	3
aṭṭhakathā bhāsāṭīkā 汇总	2
aṭṭhakathā bhāsāṭīkā  汇总	2
bhāsāṭīkā  汇总	2
bhurākrī 汇总	2
caṅkyoငa 汇总	2
pacchimāruṃ 汇总	2
recakriu 汇总	2
saaငa 汇总	2
veyaṃbhuṃsā 汇总	2
arhaငaādicmiuthi 汇总	1
aṭṭhakathā 汇总	1
kraṅkhaငa 汇总	1
mūmatū 汇总	1
rvhepraññaññoငatora 汇总	1
sacachima 汇总	1
saṅgajā 汇总	1
thanoငavana 汇总	1
总计	225
